date,Close,Bitcoin,Blockchain,Crypto,Cryptocurrency,Economy,Ethereum,Gold,Market,NFT,,,,,,,,
28/02/16,433.503998,0.145127698,1.329581752,0.229674592,0.691588317,40.8921769,0.493745974,9.722569304,8.793721822,0.225192348,,,,,,,,
29/02/16,437.696991,0.290255396,3.656349817,0.59332603,0.255887677,57.92306506,0.644016487,13.19039217,8.01205766,0.263432559,,,,,,,,
01/03/16,435.122986,0.290255396,4.210342213,0.315802564,0.221308261,57.92306506,0.923090299,13.19039217,7.230393498,0.131716279,,,,,,,,
02/03/16,423.989014,0.338631296,4.76433461,0.555046931,0.366541808,65.93760066,1.223631326,13.19039217,6.448729336,0.212445612,,,,,,,,
03/03/16,421.651001,0.435383094,5.429125485,0.57418648,0.214392378,63.93396676,1.481237921,15.79125931,11.92037847,0.208196699,,,,,,,,
04/03/16,410.938995,0.241879497,4.542737651,0.401930536,0.117570014,54.9176142,1.073360812,11.45648074,7.230393498,0.093476069,,,,,,,,
05/03/16,400.570007,0.532134893,2.326768065,0.258383916,0.242055911,26.86673959,1.567106786,20.12603789,11.92037847,0.135965191,,,,,,,,
06/03/16,407.707001,0.145127698,1.772775669,0.421070086,0.235140028,40.8921769,1.288032975,12.32343645,10.35705015,7.54758E-18,,,,,,,,
07/03/16,414.321014,0.338631296,3.767148296,0.57418648,0.373457691,65.93760066,1.20216411,14.9243036,8.793721822,0.220943436,,,,,,,,
08/03/16,413.971985,0.290255396,2.880760462,0.44977941,0.186728846,61.93033286,1.03042638,9.722569304,8.01205766,0.169956489,,,,,,,,
09/03/16,414.859985,0.387007195,3.323954379,0.478488734,0.511775355,57.92306506,1.137762461,11.45648074,8.01205766,0.216694524,,,,,,,,
10/03/16,417.131012,0.241879497,3.656349817,0.44977941,0.290467093,61.93033286,0.944557515,9.722569304,6.448729336,0.148711928,,,,,,,,
11/03/16,421.690002,0.145127698,3.323954379,0.43063986,0.408037107,50.9103464,0.880155866,11.45648074,7.230393498,0.182703226,,,,,,,,
12/03/16,411.623993,0.193503597,0.997186314,0.344511888,0.456448289,29.87219044,1.481237921,14.9243036,15.04703512,0.186952138,,,,,,,,
13/03/16,414.065002,0.145127698,2.215969586,0.239244367,0,40.8921769,1.588574002,12.32343645,10.35705015,0.059484771,,,,,,,,
14/03/16,416.437988,0.387007195,3.988745255,0.44977941,0.359625925,55.91943116,2.146721625,13.19039217,8.793721822,0.186952138,,,,,,,,
15/03/16,416.829987,0.290255396,4.76433461,0.631605129,0.477195939,58.92488201,1.54563957,14.9243036,8.793721822,0.169956489,,,,,,,,
16/03/16,417.010986,0.241879497,4.321140692,0.583756255,0.387289458,53.91579725,1.20216411,12.32343645,8.01205766,0.297423856,,,,,,,,
17/03/16,420.621002,0.193503597,4.431939172,0.488058508,0.290467093,51.91216335,1.159229677,13.19039217,8.01205766,0.144463016,,,,,,,,
18/03/16,409.548004,0.096751799,2.659163503,0.392360762,0.331962392,39.89035994,1.54563957,19.25908218,8.01205766,0.165707577,,,,,,,,
19/03/16,410.444,0.145127698,1.107984793,0.124407071,0.28355121,24.86310569,1.288032975,14.9243036,11.92037847,0.157209753,,,,,,,,
20/03/16,413.755005,0.193503597,1.661977189,0.133976845,0.290467093,34.88127519,1.073360812,12.32343645,11.92037847,0.123218455,,,,,,,,
21/03/16,413.307007,0.241879497,4.542737651,0.535907382,0.235140028,48.9067125,0.987491947,7.988657873,9.575385984,0.271930383,,,,,,,,
22/03/16,418.088989,0.241879497,3.545551337,0.57418648,0.304298859,48.9067125,0.85868865,9.722569304,7.230393498,0.123218455,,,,,,,,
23/03/16,418.040985,0.241879497,5.096730048,0.459349184,0.387289458,42.8958108,1.008959164,9.722569304,8.01205766,0.212445612,,,,,,,,
24/03/16,416.394012,0.145127698,4.875133089,0.631605129,0.387289458,43.89762775,1.008959164,9.722569304,11.92037847,0.233690173,,,,,,,,
25/03/16,417.177002,0.096751799,2.105171107,0.401930536,0.442616523,27.86855654,0.880155866,9.722569304,20.51868425,0.233690173,,,,,,,,
26/03/16,417.945007,0.096751799,1.772775669,0.354081663,0,19.85402093,0.729885352,9.722569304,20.51868425,0.254934734,,,,,,,,
